Statistical profiling result from isolate-0x105800000-5647-v8.log, (40014 ticks, 2833 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     32    0.1%    0.1%  LazyCompile: *parserOnHeadersComplete _http_common.js:68:33
     31    0.1%    0.1%  LazyCompile: *Easysock.write /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/easy_sock/lib/easy_sock.js:76:36
     29    0.1%    0.1%  LazyCompile: *removeListener events.js:338:28
     29    0.1%    0.1%  LazyCompile: *formatRaw internal/util/inspect.js:619:19
     28    0.1%    0.1%  LazyCompile: *parserOnIncoming _http_server.js:681:26
     27    0.1%    0.1%  LazyCompile: *serve /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa-static/index.js:39:33
     27    0.1%    0.1%  LazyCompile: *Socket._writeGeneric net.js:752:42
     26    0.1%    0.1%  LazyCompile: *resume_ _stream_readable.js:995:17
     26    0.1%    0.1%  LazyCompile: *clearBuffer _stream_writable.js:544:21
     26    0.1%    0.1%  LazyCompile: *Accepts.encoding.Accepts.encodings /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/accepts/index.js:127:40
     25    0.1%    0.1%  LazyCompile: *stylizeWithColor internal/util/inspect.js:360:26
     24    0.1%    0.1%  LazyCompile: *set status /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/response.js:84:13
     24    0.1%    0.1%  LazyCompile: *get internal/console/constructor.js:159:10
     24    0.1%    0.1%  LazyCompile: *dispatch /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/node_modules/koa-compose/index.js:35:23
     23    0.1%    0.1%  LazyCompile: *toString buffer.js:754:46
     22    0.1%    0.1%  LazyCompile: *get query /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/request.js:172:12
     22    0.1%    0.1%  LazyCompile: *_send _http_outgoing.js:281:49
     21    0.1%    0.1%  LazyCompile: *socketListenerWrap _http_server.js:799:37
     21    0.1%    0.1%  LazyCompile: *shouldRemoveAttribute /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/react-dom/cjs/react-dom-server.node.development.js:700:31
     21    0.1%    0.1%  LazyCompile: *formatProperty internal/util/inspect.js:1428:24
     21    0.1%    0.1%  LazyCompile: *concat buffer.js:524:32
     21    0.1%    0.1%  LazyCompile: *<anonymous> /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa-mount/index.js:48:25
     20    0.0%    0.1%  RegExp: ^on.
     20    0.0%    0.1%  LazyCompile: *end _http_outgoing.js:725:45
     20    0.0%    0.1%  LazyCompile: *Socket net.js:260:16
     20    0.0%    0.1%  LazyCompile: *<anonymous> evalmachine.<anonymous>:1:11
     19    0.0%    0.0%  LazyCompile: *storeHeader _http_outgoing.js:468:21
     19    0.0%    0.0%  LazyCompile: *clearIncoming _http_server.js:622:23
